Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Track Duration (ms),Track Preview URL,Popularity,Added At,Playlist URI,Playlist Name,Added By
7t8zXCZ0GhrTh3O3CHA24c,Paparazzi,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,2F5SbNpVSwxH3ajRAKoHVX,Paparazzi,2017-10-10,238547,https://p.scdn.co/mp3-preview/c1629278a043d4f87e8085983aa2f3af69b1d205?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
46tw8sWWp8eXFQlJinEChH,Store Room,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,0Xo8x3oE6zMw3pL677zMf7,Store Room,2019-04-05,176404,https://p.scdn.co/mp3-preview/a2eb61450d7ddde384ab0a46176ba1048b76ff9e?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
33b1GOLKgsJUKFUtrc03WJ,Sleeping Sickness,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,0jWnYUkvdI6RGzVpK0apoz,Sleeping Sickness,2018-07-07,224173,https://p.scdn.co/mp3-preview/cd15185b0b65a949a2283f14149fa8fd34ec398d?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
1BDgx7RrMKUKRvk12yQ0Yr,Winning Formula,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4KPtg1grxQPlj443e6sNvZ,Winning Formula,2020-08-07,162222,https://p.scdn.co/mp3-preview/423c63548bc869f0cd7acae90d6029f8923cb694?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
3BiwOy1Pvu6OgOSACfiapf,Real Badman,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,0cqLHtBiEBHnzBISSaKrNR,Real Badman,2017-01-09,171789,https://p.scdn.co/mp3-preview/ff70535d4169f7e0d8671324f89047989b6cce64?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
5k4ccsNsuBIrwlCkDviPNP,Miss Ghana,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4BogvFSLnUKhEcu6Dszu6b,Green Times Mixtape,2014-03-09,164093,https://p.scdn.co/mp3-preview/dfe6e30ad109fba5077b20978caeb572865d4cd4?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
47b03Fm4nrswgqpRt8D4Am,Magical Year,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1W9Sxg1fGkaPyYplJpk5aK,Magical Year Mixtape,2015-08-21,256000,https://p.scdn.co/mp3-preview/7deb9159997f340c6ce4b73165943b9d9708e376?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
0yopNgGkKIzPPvB3cMLKS3,Kill and Gone,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1V6wCi6tn0HWgD4PpzfEgS,Kill and Gone,2020-09-16,152371,https://p.scdn.co/mp3-preview/b745f6cdd082d75dccdba59709df181a71b1040a?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
2AZw3Z3P59wZJQXKzuvV7K,Story to Tell,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1W9Sxg1fGkaPyYplJpk5aK,Magical Year Mixtape,2015-08-21,281626,https://p.scdn.co/mp3-preview/b00c95576658cd9bd7b2e790f17a70f40d7a7805?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
1VdKdy4jccjPGMONkQBF2I,No Sitting,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4BogvFSLnUKhEcu6Dszu6b,Green Times Mixtape,2014-03-09,213799,https://p.scdn.co/mp3-preview/830ce4cd51adce2c833e301195fa91539e8509ce?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
