album_uri,album_name,release_date
4KKFWTePKtgb6mOwFDqxYa,Working Class Dog,1905-06-03
3x2uer6Xh0d5rF8toWpRDA,Nimrod,1997-10-14
7xWKImlu9fzB1ApqoLLMiL,Wake up to Find Out: Nassau Coliseum: Uniondale; NY 3/29/1990 (Live),2014-09-08
2iU0cUGlqNhNAPqoY54fMC,Evolve,2017-06-23
5jNDWA19BJbE24x1UUJGRY,Sweet Dreams (Are Made Of This),1983-01-04
6htgf3qv7vGcsdxLCDxKp8,Night Visions,2012-09-04
3Ab4CfKIqTQdJPCrz6U0Ka,Sweet FA,2016-10-03
0zLd8jpRt4m6FWCu81Fb9n,Blazzin' Fire,2010-12-14
7M3cxHsH8qYoVtD50ABfvU,The John Denver Collection Vol 1: Take Me Home Country Roads,1997-06-17
1ekaxA9Q5GzUPCepx4wzMF,Back to Bedlam,2005-08-08
5XRmSuESYUZSa7HauZ71ts,The Fine Art Of Surfacing,1905-06-01
7LPfdVDw4uXf9Bw5LQDESf,Heartbeat City (Expanded Edition),1905-06-06
1b6F8chQLR8ho495vaAzd4,Have It All,2018-04-27
1lZahjeu4AhPkg9JARZr5F,Physical Graffiti (1994 Remaster),1975-02-24
4JpPMfD1WkIJtmLTsfcOkJ,Only a Country Heart,2015-07-23
6t5FqieylI6XlBhGOLoPPu,Nice Nice Very Nice,2009-08-11
2JcwQwy2KY3CEIzHUC30wG,Radio Hits Of the '70s,1905-05-25
3RAVaaNFYcKqLuEb1hxET4,Live On Tour,2008-07-08
0tvm3lygYS8TWU0x8nBKmc,From the Foundations (Expanded Edition),1967-01-01
67AavHCA8F7Kf3sj4vv7m4,Enjoy the Company,1905-07-04
5MQBzs5YlZlE28mD9yUItn,PRISM (Deluxe),2013-10-18
5BwjVdVJ4aOmbIYomznfCv,Blues for Allah (2013 Remaster),1905-05-28
0r2BUyPTmpbfuz4rR39mLl,One Of The Boys,2008-06-17
2v2iR6vtrLVTyiNIEsv5Sg,Jolene (Expanded Edition),1905-05-27
78FZXQkBGm2IOPrE9f64sU,Poems Prayers and Promises,1905-05-24
2eQMC9nJE3f3hCNKlYYHL1,Teenage Dream,2010-01-01
5BvgP623rtvlc0HDcpzquz,Teenage Dream: The Complete Confection,2012-03-12
4HD4hyCi2n5gc5yyRVnirU,Animal + Cannibal (Deluxe Edition),2010-11-19
4fvsd8sC8ExZgdIUSzSYGX,Tired Of Hanging Around,1905-06-28
5QOP3w3rOF5TBYgzjGep5Y,You've Got Time,2013-07-05
7HlWbMlmhASeeZ61ZiHpWJ,Crimes Of Passion,1980-08-05
7AXTLlozy3GjqecUmXqk3r,Waving Flag,2014-08-29
0XRZpF083HqgygM0v1hQyE,Yellow Submarine Songtrack,2014-01-01
5l8axHOB8sCsWqfK5XVtbF,Woodland - EP,2013-03-05
705K6lFN9wm3bifelyuQS4,ARTPOP,2013-01-01
5maeycU97NHBgwRr2h2A4O,Born This Way (Special Edition),2011-01-01
2tukc7pH4qTuXcfaHjLIBc,ABC,1970-05-08
2FBA8NCSuQNi8jaR2Xjbal,The Fame,2008-01-01
3OhZTb3unARrvpYc0STkFM,Where It All Begins,1994-05-03
5bx2ZHa0KUDMD5T0r9V030,Do you Believe In Magic,1965-11-01
6u5tGarzvESDsQiIpC4SlI,Surfin' USA (Remastered),1963-03-25
4kUPaftRMXrRCmiftpEIQQ,Million Reasons,2016-10-06
64Ky1tqKPfwxhJs6msphWd,9 To 5 And Odd Jobs,1905-06-02
0CxPbTRARqKUYighiEY9Sz,Use Your Illusion I,1991-09-17
1ER3B6zev5JEAaqhnyyfbf,Hunting High and Low,1985-06-01
2V4S8ntZSd7ACo2L9QGgCM,Take Back The Universe And Give Me Yesterday,2001-01-01
0kBfgEilUFCMIQY5IOjG4t,Slippery When Wet,1986-08-16
1DrdpkCNbP2QxDvtsASs63,Sailing to Philadelphia,2000-09-26
3TZAHSlgnHCF5R4xNVgmOU,Shut Up Lets Dance,2017-02-17
2OUYJtDV6EmLkVyoHSuGIp,Pretzel Logic,1974-01-01
3PomvFR694SrCSZzDWMWV7,Pretty Boy Dirty Boy,2015-10-30
2pMxs38Y5A0mmHrcu3twvB,Happy Together,1905-05-20
6vBpLg3T8bojcqzoKI6m0R,3,2013-07-23
1V6a99EbTTIegOhWoPxYI9,Arrival,1905-05-29
4CINwoCsc8e6Nyw9rcG6Z2,One More Night,2012-01-01
1Rv9WRKyYhFaGbuYDaQunN,Songs About Jane,2002-06-25
51uoKRa8vT5SULrlF8s2t1,Diana Ross Presents The Jackson 5,1969-12-18
1kM6xcSYO5ASJaWgygznL7,Abba,1905-05-28
67Eq3nfl1km9s5ig76Cc8B,United,1967-08-29
3Yx7rFz5gPsuWOoNncW0UP,Everything's Archie,1969-11-14
5EyIDBAqhnlkAHqvPRwdbX,Led Zeppelin IV (Remaster),1971-11-08
3Us57CjssWnHjTUIXBuIeH,Bad (Remastered),1987-08-31
6sdXGlrywMohGMVg5gIqwp,All-Time Greatest Hits,2014-07-08
5TbgNZatKeCa3V4CJI2eEg,Wings Over America,1976-12-10
54ootLtDyMZFr9obtWQvvO,Signed Sealed And Delivered,1970-08-07
47OFnLtLVi5WrPYNXAwFGh,Toy Story,1995-01-01
512ipXtdhwJF52NTT2yryo,The Bang Years 1966-1968 (The 23 Original Mono Recordings),1905-05-21
0GqpoHJREPp0iuXK3HzrHk,Houses of the Holy (Remaster),1973-03-28
Fountains Of Wayne,All-Time Greatest Hits,2014-07-08
2mBbV0Ad6B4ydHMZlzAY7S,Exodus,1977-06-03
4kFH7GJM7nsppBsyXl02jV,Bandas Sonoras de Películas: Las Mejores Canciones de la Música de Cine y Músicas Famosas de Filmes,2015-05-20
3m4xJJDmVNzsWaJ6OlLTru,Moods,1972-07-15
5Xa24qmqKbmvM11RDUYVj0,Get Lucky,2009-09-15
5t0lQDPLF22wmWCtSZkIVv,Far,2009-06-09
0qtV1svcPG2MmN9Meo6ZZu,Sweet Caroline,1987-06-29
0sFuW4rH5mFZUjNKnckO3v,Still Bill,1972-05-01
