artist_uri,artist_name
5WUlDfRSoLAfcVSX1WnrxN,Sia
1dWEYMPtNmvSVaDNLgB6NV,Saint Motel
2iEvnFsWxR0Syqu2JNopAd,Smash Mouth
2lEOFtf3cCyzomQcMHJGfZ,Ylvis
0swB2gUS9LTTHoBpWpM1nT,The Sounds Of John Lennon
26bcq2nyj5GB7uRr558iQg,Survivor
6MF9fzBmfXghAz953czmBC,Taio Cruz
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton
2NhdGz9EDv2FeUw6udu2g1,The Wanted
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
2qxJFvFYMEDqd7ui6kSAcq,Zedd
5ZsFI1h6hIdQRw2ti0hz81,ZAYN
3WGpXCj9YhhfX11TToZcXP,Troye Sivan
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol
6XkzeNLtosGSgD85U8FNMg,Sam Rollins
2TzHIUhVpeeDxyJPpQfnV3,Katrina and The Waves
3dRfiJ2650SZu6GbydcHNb,John Williams
7y3ULlnKKpeZ4JOKMAJQzK,London Voices
1nancjqcroHozKvRXl3X5t,Danny Birt
5pKCCKE2ajJHZ9KAiaK11H,Rihanna
090VebphoycdEyH165iMqc,Shirley Bassey
5dcOK4stT4JDkP6Dqhbz5s,Sheena Easton
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
6tbjWDEIzxoDsBA1FuhfPW,Madonna
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
7zMVPOJPs5jgU8NorRxqJe,Michael Learns To Rock
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj
3sgFRtyBnxXD5ESfmbK4dl,LMFAO
3whuHq0yGx60atvA2RCVRW,Olly Murs
7CajNmpbOovFoOoasH2HaY,Calvin Harris
0jnsk9HBra6NMjO2oANoPY,Flo Rida
5BcAKTbp20cv7tC5VqPFoC,Macklemore and Ryan Lewis
07QEuhtrNmmZ0zEcqE9SF6,Owl City
4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd
0RpddSzUHfncUWNJXKOsjy,Neon Trees
6X9aYHnQ75YI8o08aoa0iS,Boyzone
7H55rcKCfwqkyDFH9wpKM6,Christina Perri
540vIaP2JwjQb9dm3aArA4,DJ Snake
0EmeFodog0BfCgMzAIvKQp,Shakira
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham
4AapPt7H6bGH4i7chTulpI,Ben Rector
716ZwtZBmwROBXcFmCzfdM,Andrew McMahon in the Wilderness
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
26dSoYclwsYLMAKD3tpOr4,Britney Spears
4we5S2VLjgY9KzIzApL1KI,Ryan Tedder
23fqKkggKUBHNkbKtXEls4,Kygo
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia
3gd8FJtBJtkRxdfbTu19U2,Mumford and Sons
2FXC3k01G6Gw61bmprjgqS,Hozier
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson
6T5tfhQCknKG4UnH90qGnz,DNCE
5y2Xq6xcjJb2jVM54GHK3t,John Legend
31TPClRtHm23RisEBtV3X7,Justin Timberlake
5xKp3UyavIBUsGy3DQdXeF,A Great Big World
6vWDO969PvNqNYHIOW5v0m,Beyonce
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield
0N0d3kjwdY2h7UVuTdJGfp,Cascada
10exVja0key0uqUkk6LJRT,Vance Joy
0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler
4IWBUUAFIplrNtaOHcJPRM,James Arthur
4EzkuveR9pLvDVFNx6foYD,James Bay
0zOcE3mg9nS6l3yxt1Y0bK,The Fray
55Aa2cqylxrFIXC767Z865,Lil Wayne
738OS3zrCO782uDiUN9pet,Lee Ann Womack
6T70tWxqyIpdVbsFvPzqM3,La La Land Cast
69GGBxA162lTqCwzJG5jLp,The Chainsmokers
4xRYI6VqpkE3UwrDrAZL8L,Logic
1eTZGzLkukATM7FoGltyFs,Elizabeth Cotten
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa
4bofI6U62c9ZvTOrORFVwc,Carbon Leaf
0gDg7FEsF4Y1jWddJJgcn4,The Rembrandts
7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy
19ra5tSw0tWufvUp8GotLo,George Michael
5l8VQNuIg0turYE1VtM9zV,Leonard Cohen
246dkjvS1zLTtiykXe5h60,Post Malone
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers
68Uwx1d3EbjDJhYsLjqvIq,Emma Stone
2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
3Z02hBLubJxuFJfhacLSDc,Bryan Adams
2FjkZT851ez950cyPjeYid,Bobby McFerrin
4mxWe1mtYIYfP040G38yvS,Alan Jackson
54R6Y0I7jGUCveDTtI21nb,Boney M.
0EdvGhlC1FkGItLOWQzG4J,Sublime
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County
4QQgXkCYTt3BlENzhyNETg,Earth
7KkqUt65v6LMtR369OQ6FB,Jonathan Groff
6zB02lwP6L6ZH32nggQiJT,They Might Be Giants
7pGyQZx9thVa8GxMBeXscB,K'NAAN
7HV2RI2qNug4EcQqLbCAKS,Keala Settle
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys
0RY2EG9XPPwZOliIkTOiog,John Barry Orchestra
06kr5yNAM2rOf4DXemM8fl,Matt Monro
63KnR8pniNe7l75qr1GK7Q,Don Black
3IZrrNonYELubLPJmqOci2,Nancy Sinatra
7ctAOUlIAs7yuMODWE2Fyz,John Barry
19eLuQmk9aCobbVDHc6eek,Louis Armstrong
4FtSnMlCVxCswABUmdhwpm,Carly Simon
0jYKX08u1XxmHrl5TdM2QZ,Lulu
1vnIL4DMlivP55ioM6KitW,Rita Coolidge
0lZoBs4Pzo7R89JM9lxwoT,Duran Duran
1ppIZmEJfPTBbymhqkhLCN,007 Collective
2aXiJJHJei5BmCykxI37y0,Gladys Knight
1zuJe6b1roixEKMOtyrEak,Tina Turner
6S0GHTqz5sxK5f9HtLXn9q,Garbage
0XHiH53dHrvbwfjYM7en7I,Chris Cornell
4FZ3j1oH43e7cukCALsCwf,Jack White
0TImkz4nPqjegtVSMZnMRq,TLC
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
41qil2VaGbD194gaEcmmyx,Will Smith
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez
46lnlnlU0dXTDpoAUmH6Qx,Lou Bega
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin
711MCceyCBcFnzjGY4Q7Un,AC/DC
